	20-sep-2015	Sample_Alias	alias	collection_date	depth	description	ena checklist	environment (biome)	environment (feature)	environment (material)	environmental package	event date/time	event label	geographic location (country and/or sea)	insdc center alias	insdc center name	insdc first public	insdc last update	insdc status	last update date	latitude	longitude	marine region	nitrate sensor	oxygen sensor	protocol label	salinity	sample collection device	sample name	sample site	sampling campaign	sampling platform	sampling site	sampling station	sequencing method	size fraction lower threshold	sra accession	temperature	title
164		SAMEA98149168	KD054_S1_66	16-Sep-2015	0.9	Arctic sea ice metagenome, 0.9 m	ERC000011	marine biome	marine water body	sea ice		16-Sep-2015	6324	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T17:53:04Z	public	22-Feb-2017	85.16033333	-149.9722667	Arctic Ocean			NPL022	32.17356772	ice auger	ERS1568980		GEOTRACES ARCTIC 2015	CGC Healy		43	Illumina MiSeq 2x250 PE	0.22 um	ERS1568980	-1.7425	Arctic sea ice metagenome, 0.9 m
165		SAMEA98149918	KD059_S4_61	16-Sep-2015	1.1	Arctic sea ice metagenome, 1.1 m	ERC000011	marine biome	marine water body	sea ice		16-Sep-2015	6324	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-20T16:29:58Z	public	22-Feb-2017	85.16033333	-149.9722667	Arctic Ocean			NPL022	33.64074589	ice auger	ERS1568981		GEOTRACES ARCTIC 2015	CGC Healy		43	Illumina MiSeq 2x250 PE	0.22 um	ERS1568981	-1.93	Arctic sea ice metagenome, 1.1 m
166		SAMEA98150668	KD060B_S11_60B	16-Sep-2015	0.3	Arctic sea ice metagenome, 0.3 m	ERC000011	marine biome	marine water body	sea ice		16-Sep-2015	6324	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-20T16:17:11Z	public	22-Feb-2017	85.16033333	-149.9722667	Arctic Ocean			NPL022	47.87118489	ice auger	ERS1568982		GEOTRACES ARCTIC 2015	CGC Healy		43	Illumina MiSeq 2x250 PE	0.22 um	ERS1568982	-2.7225	Arctic sea ice metagenome, 0.3 m
167		SAMEA98137168	KD010_S2_6	04-Sep-2015	1.3	Arctic sea ice metagenome, 1.3 m	ERC000011	marine biome	marine water body	sea ice		04-Sep-2015	6210	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T18:02:35Z	public	22-Feb-2017	88.4072	-176.7614333	Arctic Ocean			NPL022	28.28050089	ice auger	ERS1568964		GEOTRACES ARCTIC 2015	CGC Healy		31	Illumina MiSeq 2x250 PE	0.22 um	ERS1568964	-1.655	Arctic sea ice metagenome, 1.3 m
168		SAMEA98158168	KD099_S3_54	26-Sep-2015	55	Arctic seawater metagenome, 55 m	ERC000011	marine biome	marine water body	seawater		26-Sep-2015	6388	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T16:01:23Z	public	22-Feb-2017	78.1739	-147.8331	Arctic Ocean	3.49	308.8	NPL022	31.1098	Niskin bottle	ERS1568992	11869	GEOTRACES ARCTIC 2015	CGC Healy		51	Illumina MiSeq 2x250 PE	0.22 um	ERS1568992	-0.3258	Arctic seawater metagenome, 55 m
169		SAMEA98152918	KD102_S2_52	27-Sep-2015	0.05	Arctic sea ice metagenome, 0.05 m	ERC000011	marine biome	marine water body	sea ice		27-Sep-2015	6405	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T15:34:17Z	public	22-Feb-2017	77.4476	-147.8711	Arctic Ocean			NPL022		ice auger	ERS1568985		GEOTRACES ARCTIC 2015	CGC Healy		52	Illumina MiSeq 2x250 PE	0.22 um	ERS1568985		Arctic sea ice metagenome, 0.05 m
170		SAMEA98158918	KD115_S2_49	04-Oct-2015	1	Arctic seawater metagenome, 1 m	ERC000011	marine biome	marine water body	seawater		04-Oct-2015	6458	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T15:27:26Z	public	22-Feb-17	72.9989	-158.8455	Arctic Ocean			NPL022		Niskin bottle	ERS1568993		GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568993		Arctic seawater metagenome, 1 m
171		SAMEA98162668	KD120_S5_46	04-Oct-2015	57	Arctic seawater metagenome, 57 m	ERC000011	marine biome	marine water body	seawater		04-Oct-2015	6458	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T17:23:55Z	public	22-Feb-2017	72.9989	-158.8455	Arctic Ocean	0.98	309.5	NPL022	31.1429	Niskin bottle	ERS1568998	12220	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568998	1.7079	Arctic seawater metagenome, 57 m
172		SAMEA98161918	KD120_S12_46	04-Oct-2015	57	Arctic seawater metagenome, 57 m	ERC000011	marine biome	marine water body	seawater		04-Oct-2015	6458	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T16:00:33Z	public	22-Feb-2017	72.9989	-158.8455	Arctic Ocean	0.98	309.5	NPL022	31.1429	Niskin bottle	ERS1568997	12220	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568997	1.7079	Arctic seawater metagenome, 57 m
173		SAMEA98163418	KD121_S6_45	04-Oct-2015	25	Arctic seawater metagenome, 25 m	ERC000011	marine biome	marine water body	seawater		04-Oct-2015	6458	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T17:28:14Z	public	22-Feb-2017	72.9989	-158.8455	Arctic Ocean	0.14	286.4	NPL022	29.397	Niskin bottle	ERS1568999	12226	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568999	1.6423	Arctic seawater metagenome, 25 m
174		SAMEA98164168	KD122_S11_44	04-Oct-2015	660	Arctic seawater metagenome, 660 m	ERC000011	marine biome	marine water body	seawater		04-Oct-2015	6458	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T15:49:41Z	public	22-Feb-2017	72.9989	-158.8455	Arctic Ocean	12.74	245.2	NPL022	34.8519	Niskin bottle	ERS1569000	12208	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1569000	0.4047	Arctic seawater metagenome, 660 m
175		SAMEA98166418	KD127_S9_41	42282	29	Arctic seawater metagenome, 29 m	ERC000011	marine biome	marine water body	seawater		42282	6467	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2017-02-23T07:44:11Z	public	42788	72.7978	-159.6242	Arctic Ocean	17.53	181.8	NPL022	32.6327	Niskin bottle	ERS1569003	12263	GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569003	-1.6707	Arctic seawater metagenome, 29 m
176		SAMEA98167168	KD127_S10_41	05-Oct-2015	29	Arctic seawater metagenome, 29 m	ERC000011	marine biome	marine water body	seawater		05-Oct-2015	6467	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T17:56:09Z	public	22-Feb-2017	72.7978	-159.6242	Arctic Ocean	17.53	181.8	NPL022	32.6327	Niskin bottle	ERS1569004	12263	GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569004	-1.6707	Arctic seawater metagenome, 29 m
177		SAMEA98167918	KD128_S10_40	05-Oct-2015	12	Arctic seawater metagenome, 12 m	ERC000011	marine biome	marine water body	seawater		05-Oct-2015	6467	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T16:02:09Z	public	22-Feb-2017	72.7978	-159.6242	Arctic Ocean	0.38	267.2	NPL022	31.2395	Niskin bottle	ERS1569005	12271	GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569005	1.0376	Arctic seawater metagenome, 12 m
178		SAMEA98168668	KD128_S1_40	05-Oct-2015	12	Arctic seawater metagenome, 12 m	ERC000011	marine biome	marine water body	seawater		05-Oct-2015	6467	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T17:21:57Z	public	22-Feb-2017	72.7978	-159.6242	Arctic Ocean	0.38	267.2	NPL022	31.2395	Niskin bottle	ERS1569006	12271	GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569006	1.0376	Arctic seawater metagenome, 12 m
179		SAMEA98136418	KD008_S1_4	21-Sep-2015	1.1	Arctic sea ice metagenome, 1.1 m	ERC000011	marine biome	marine water body	sea ice		21-Sep-2015	6210	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2017-11-06T14:49:22Z	public	42788	88.4072	-176.7614333	Arctic Ocean			NPL022	21.91196841	ice auger	ERS1568963		GEOTRACES ARCTIC 2015	CGC Healy		31	Illumina MiSeq 2x250 PE	0.22 um	ERS1568963	-1.35	Arctic sea ice metagenome, 1.1 m
180		SAMEA98169418	KD129_S11_39	07-Sep-2015	20	Arctic seawater metagenome, 20 m	ERC000011	marine biome	marine water body	seawater		07-Sep-2015	6467	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T17:34:27Z	public	22-Feb-2017	72.7978	-159.6242	Arctic Ocean	17.18	200.7	NPL022	32.6097	Niskin bottle	ERS1569007	12267	GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569007	-1.6592	Arctic seawater metagenome, 20 m
181		SAMEA98170168	KD130_S9_36	05-Oct-2015	1	Arctic seawater metagenome, 1 m	ERC000011	marine biome	marine water body	seawater		05-Oct-2015	6469	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T15:51:51Z	public	22-Feb-2017	72.7999	-159.6157	Arctic Ocean			NPL022		Niskin bottle	ERS1569008		GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569008		Arctic seawater metagenome, 1 m
182		SAMEA98170918	KD130_S12_36	05-Oct-2015	1	Arctic seawater metagenome, 1 m	ERC000011	marine biome	marine water body	seawater		05-Oct-2015	6469	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T15:48:54Z	public	22-Feb-2017	72.7999	-159.6157	Arctic Ocean			NPL022		Niskin bottle	ERS1569009		GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569009		Arctic seawater metagenome, 1 m
183		SAMEA98165668	KD124_S8_35	42281	240	Arctic seawater metagenome, 240 m	ERC000011	marine biome	marine water body	seawater		42281	6458	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2017-02-23T07:44:11Z	public	42788	72.9989	-158.8455	Arctic Ocean	13.05	231	NPL022	34.616	Niskin bottle	ERS1569002	12214	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1569002	0.1656	Arctic seawater metagenome, 240 m
184		SAMEA98164918	KD123_S7_34	42281	415	Arctic seawater metagenome, 415 m	ERC000011	marine biome	marine water body	seawater		42281	6458	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2017-02-23T07:44:11Z	public	42788	72.9989	-158.8455	Arctic Ocean	12.77	242.1	NPL022	34.8415	Niskin bottle	ERS1569001	12210	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1569001	0.5718	Arctic seawater metagenome, 415 m
185		SAMEA98161168	KD119_S4_33	42281	860	Arctic seawater metagenome, 860 m	ERC000011	marine biome	marine water body	seawater		42281	6458	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2017-02-23T07:44:11Z	public	42788	72.9989	-158.8455	Arctic Ocean	12.71	246.5	NPL022	34.8545	Niskin bottle	ERS1568996	12206	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568996	0.3785	Arctic seawater metagenome, 860 m
186		SAMEA98160418	KD118_S8_32	04-Oct-2015	137	Arctic seawater metagenome, 137 m	ERC000011	marine biome	marine water body	seawater		04-Oct-2015	6458	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T17:54:50Z	public	22-Feb-2017	72.9989	-158.8455	Arctic Ocean	14.85	219.2	NPL022	33.0812	Niskin bottle	ERS1568995	12216	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568995	-1.3531	Arctic seawater metagenome, 137 m
187		SAMEA98159668	KD118_S3_32	04-Oct-2015	137	Arctic seawater metagenome, 137 m	ERC000011	marine biome	marine water body	seawater		04-Oct-2015	6458	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-20T16:13:58Z	public	22-Feb-2017	72.9989	-158.8455	Arctic Ocean	14.85	219.2	NPL022	33.0812	Niskin bottle	ERS1568994	12216	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568994	-1.3531	Arctic seawater metagenome, 137 m
188		SAMEA98153668	KD150_S12_31	07-Oct-2015	1.1	Arctic sea ice metagenome, 1.1 m	ERC000011	marine biome	marine water body	sea ice		07-Oct-2015	6483	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T16:54:18Z	public	22-Feb-2017	71.9966	-162.496	Arctic Ocean			NPL022		Niskin bottle	ERS1568986		GEOTRACES ARCTIC 2015	CGC Healy		33	Illumina MiSeq 2x250 PE	0.22 um	ERS1568986		Arctic sea ice metagenome, 1.1 m
189		SAMEA98152168	KD092_S7_23	42267	0.1	Arctic sea ice metagenome, 0.1 m	ERC000011	marine biome	marine water body	sea ice		42267	6348	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2017-02-23T07:44:10Z	public	42788	82.50385	-149.7905	Arctic Ocean			NPL022	27.13961801	ice auger	ERS1568984		GEOTRACES ARCTIC 2015	CGC Healy		46	Illumina MiSeq 2x250 PE	0.22 um	ERS1568984	-1.3775	Arctic sea ice metagenome, 0.1 m
190	42267	SAMEA98151418	KD087_S6_18		0.9	Arctic sea ice metagenome, 0.9 m	ERC000011	marine biome	marine water body	sea ice		20-Sep-2015	6348	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-20T16:14:42Z	public	22-Feb-2017	82.50385	-149.7905	Arctic Ocean			NPL022	23.83886978	ice auger	ERS1568983		GEOTRACES ARCTIC 2015	CGC Healy		46	Illumina MiSeq 2x250 PE	0.22 um	ERS1568983	-1.29	Arctic sea ice metagenome, 0.9 m
191		SAMEA98156668	KD036_S5_17	14-Sep-2015	1	Arctic seawater metagenome, 1 m	ERC000011	marine biome	marine water body	seawater		14-Sep-2015	6283	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	2017-02-23T17:01:30Z	2018-03-22T18:01:12Z	public	22-Feb-2017	85.723	-150.6090833	Arctic Ocean			NPL022		Niskin bottle	ERS1568990		GEOTRACES ARCTIC 2015	CGC Healy		42	Illumina MiSeq 2x250 PE	0.22 um	ERS1568990		Arctic seawater metagenome, 1 m
192		SAMEA4005048	KD130			Station 61	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:13Z	public										ERS1176158								ERS1176158		seawater 1m
193		SAMEA4005047	KD129			Station 61	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:13Z	public										ERS1176157								ERS1176157		seawater 20m
194		SAMEA4005046	KD128			Station 61	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:13Z	public										ERS1176156								ERS1176156		seawater 12m
195		SAMEA4005045	KD127			Station 61	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:13Z	public										ERS1176155								ERS1176155		seawater 29m
196		SAMEA4005044	KD124			Station 60	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:13Z	public										ERS1176154								ERS1176154		seawater 240m
197		SAMEA4005043	KD123			Station 60	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:13Z	public										ERS1176153								ERS1176153		seawater 415m
198		SAMEA4005042	KD121			Station 60	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:13Z	public										ERS1176152								ERS1176152		seawater 25m
199		SAMEA4005041	KD120			Station 60	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:13Z	public										ERS1176151								ERS1176151		seawater 57m
200		SAMEA4005040	KD119			Station 60	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:13Z	public										ERS1176150								ERS1176150		seawater 860m
201		SAMEA4005039	KD118			Station 60	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:13Z	public										ERS1176149								ERS1176149		seawater 137m
202		SAMEA4005038	KD115			Station 60	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:13Z	public										ERS1176148								ERS1176148		seawater 1m
203		SAMEA4005037	KD014			Station 33	ERC000011									UNIVERSITY OF ALASKA FAIRBANKS	2016-05-28T17:01:57Z	2016-06-01T21:30:12Z	public										ERS1176147								ERS1176147		seawater 5m
